job_id,start,end,node,file_id,file_url,file_size,last_file_state,last_process_state,ended,kafka_begin,kafka_end,kafka_alivetime
14446264,"December 21st 2020, 13:34:14.777","December 21st 2020, 13:34:14.777",dunepro-40417555-0-fnpc9069.fnal.gov,7440803,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/08/03/np04_raw_run005765_0003_dl3.root,8264318328,transferred,active,False,1608557654777,1608557654777,0.0
14446263,"December 21st 2020, 13:31:59.397","December 21st 2020, 13:31:59.397",dunepro-40417579-0-fnpc17114.fnal.gov,7442751,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/51/np04_raw_run005765_0032_dl3.root,8232786616,transferred,active,False,1608557519397,1608557519397,0.0
14446262,"December 21st 2020, 13:31:49.141","December 21st 2020, 13:31:49.141",dunepro-40417590-0-fnpc19127.fnal.gov,7446829,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/29/np04_raw_run005766_0050_dl11.root,8231657406,transferred,active,False,1608557509141,1608557509141,0.0
14446261,"December 21st 2020, 13:31:54.209","December 21st 2020, 13:31:54.209",dunepro-40417586-0-fnpc9012.fnal.gov,7446832,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/32/np04_raw_run005766_0050_dl10.root,8223117379,transferred,active,False,1608557514210,1608557514210,0.0
14446260,"December 21st 2020, 13:35:43.238","December 21st 2020, 13:35:43.238",dunepro-40417531-0-fnpc9024.fnal.gov,7442912,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/29/12/np04_raw_run005765_0037_dl2.root,8275733519,transferred,active,False,1608557743238,1608557743238,0.0
14446259,"December 21st 2020, 13:40:20.876","December 21st 2020, 13:40:20.876",dunepro-40417527-0-fnpc9045.fnal.gov,7440967,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/09/67/np04_raw_run005765_0006_dl6.root,8275511450,transferred,active,False,1608558020876,1608558020876,0.0
14446258,"December 21st 2020, 13:31:18.409","December 21st 2020, 13:31:18.409",dunepro-40417550-0-fnpc17101.fnal.gov,7446810,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/10/np04_raw_run005766_0045_dl6.root,8227750069,transferred,active,False,1608557478409,1608557478409,0.0
14446257,"December 21st 2020, 13:31:14.526","December 21st 2020, 13:31:14.526",dunepro-40417571-0-fnpc9025.fnal.gov,7446805,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/05/np04_raw_run005766_0045_dl10.root,8232745447,transferred,active,False,1608557474526,1608557474526,0.0
14446256,"December 21st 2020, 13:31:16.192","December 21st 2020, 13:31:16.192",dunepro-40417568-0-fnpc9078.fnal.gov,7446806,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/06/np04_raw_run005766_0045_dl7.root,8238392384,transferred,active,False,1608557476192,1608557476192,0.0
14446255,"December 21st 2020, 13:31:03.139","December 21st 2020, 13:31:03.139",dunepro-40417548-0-fnpc17114.fnal.gov,7435739,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/39/np04_raw_run005760_0001_dl7.root,8270648993,transferred,active,False,1608557463140,1608557463140,0.0
14446254,"December 21st 2020, 13:31:04.208","December 21st 2020, 13:31:04.208",dunepro-40417545-0-fnpc17102.fnal.gov,7435740,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/40/np04_raw_run005760_0001_dl6.root,8269870172,transferred,active,False,1608557464209,1608557464209,0.0
14446253,"December 21st 2020, 13:30:48.190","December 21st 2020, 13:30:48.190",dunepro-40417562-0-fnpc19130.fnal.gov,7446801,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/01/np04_raw_run005766_0045_dl9.root,8228118014,transferred,active,False,1608557448190,1608557448190,0.0
14446252,"December 21st 2020, 13:30:36.829","December 21st 2020, 13:30:36.829",dunepro-40417541-0-fnpc17146.fnal.gov,7442636,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/26/36/np04_raw_run005765_0044_dl8.root,8232326863,transferred,active,False,1608557436829,1608557436829,0.0
14446251,"December 21st 2020, 13:33:21.554","December 21st 2020, 13:33:21.554",dunepro-40417623-0-fnpc17146.fnal.gov,7442768,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/68/np04_raw_run005765_0039_dl7.root,8224949458,transferred,active,False,1608557601554,1608557601554,0.0
14446250,"December 21st 2020, 13:33:14.856","December 21st 2020, 13:33:14.856",dunepro-40417626-0-fnpc17112.fnal.gov,7446868,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/68/np04_raw_run005766_0056_dl5.root,8228289860,transferred,active,False,1608557594856,1608557594856,0.0
14446249,"December 21st 2020, 13:42:52.186","December 21st 2020, 13:42:52.186",dunepro-40417582-0-fnpc9036.fnal.gov,7441552,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/15/52/np04_raw_run005765_0008_dl9.root,8231642623,transferred,active,False,1608558172186,1608558172186,0.0
14446248,"December 21st 2020, 13:32:43.359","December 21st 2020, 13:32:43.359",dunepro-40417621-0-fnpc19116.fnal.gov,7446862,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/62/np04_raw_run005766_0055_dl8.root,8220909249,transferred,active,False,1608557563359,1608557563359,0.0
14446247,"December 21st 2020, 13:31:55.437","December 21st 2020, 13:31:55.437",dunepro-40417597-0-fnpc19121.fnal.gov,7446834,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/34/np04_raw_run005766_0050_dl3.root,8268803058,transferred,active,False,1608557515437,1608557515437,0.0
14446246,"December 21st 2020, 13:31:53.676","December 21st 2020, 13:31:53.676",dunepro-40417596-0-fnpc19121.fnal.gov,7446831,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/31/np04_raw_run005766_0050_dl9.root,8221672659,transferred,active,False,1608557513676,1608557513676,0.0
14446245,"December 21st 2020, 13:32:01.170","December 21st 2020, 13:32:01.170",dunepro-40417595-0-fnpc17156.fnal.gov,7442755,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/55/np04_raw_run005765_0034_dl5.root,8232832008,transferred,active,False,1608557521170,1608557521170,0.0
14446244,"December 21st 2020, 13:32:04.069","December 21st 2020, 13:32:04.069",dunepro-40417576-0-fnpc17156.fnal.gov,7446852,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/52/np04_raw_run005766_0055_dl4.root,8260111515,transferred,active,False,1608557524069,1608557524069,0.0
14446243,"December 21st 2020, 13:40:21.109","December 21st 2020, 13:40:21.109",dunepro-40417446-0-fnpc9045.fnal.gov,7449200,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/92/00/np04_raw_run005769_0003_dl3.root,8228644699,transferred,active,False,1608558021109,1608558021109,0.0
14446242,"December 21st 2020, 13:31:29.972","December 21st 2020, 13:31:29.972",dunepro-40417552-0-fnpc17129.fnal.gov,7440673,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/06/73/np04_raw_run005765_0004_dl6.root,8264326141,transferred,active,False,1608557489972,1608557489972,0.0
14446241,"December 21st 2020, 13:31:22.533","December 21st 2020, 13:31:22.533",dunepro-40417543-0-fnpc17146.fnal.gov,7440670,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/06/70/np04_raw_run005765_0004_dl7.root,8230471724,transferred,active,False,1608557482534,1608557482534,0.0
14446240,"December 21st 2020, 13:31:23.388","December 21st 2020, 13:31:23.388",dunepro-40417544-0-fnpc8020.fnal.gov,7440671,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/06/71/np04_raw_run005765_0003_dl2.root,8253166807,transferred,active,False,1608557483388,1608557483388,0.0
14446239,"December 21st 2020, 13:31:16.435","December 21st 2020, 13:31:16.435",dunepro-40417553-0-fnpc9025.fnal.gov,7446808,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/08/np04_raw_run005766_0045_dl11.root,8234430771,transferred,active,False,1608557476435,1608557476435,0.0
14446238,"December 21st 2020, 13:31:06.876","December 21st 2020, 13:31:06.876",dunepro-40417551-0-fnpc17154.fnal.gov,7435744,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/44/np04_raw_run005760_0001_dl4.root,8253813394,transferred,active,False,1608557466876,1608557466876,0.0
14446237,"December 21st 2020, 13:31:18.864","December 21st 2020, 13:31:18.864",dunepro-40417559-0-fnpc9078.fnal.gov,7440668,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/06/68/np04_raw_run005765_0003_dl6.root,8220319512,transferred,active,False,1608557478864,1608557478864,0.0
14446236,"December 21st 2020, 13:30:50.497","December 21st 2020, 13:30:50.497",dunepro-40417561-0-fnpc19139.fnal.gov,7435410,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/54/10/np04_raw_run005759_0115_dl8.root,8235889446,transferred,active,False,1608557450498,1608557450498,0.0
14446235,"December 21st 2020, 13:30:52.922","December 21st 2020, 13:30:52.922",dunepro-40417556-0-fnpc9048.fnal.gov,7435737,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/37/np04_raw_run005760_0001_dl1.root,8222049294,transferred,active,False,1608557452922,1608557452922,0.0
14446234,"December 21st 2020, 13:30:36.829","December 21st 2020, 13:30:36.829",dunepro-40417540-0-fnpc17146.fnal.gov,7442637,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/26/37/np04_raw_run005765_0045_dl9.root,4651886410,transferred,active,False,1608557436829,1608557436829,0.0
14446233,"December 21st 2020, 13:30:37.371","December 21st 2020, 13:30:37.371",dunepro-40417521-0-fnpc17146.fnal.gov,7443057,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/30/57/np04_raw_run005765_0036_dl11.root,8223834860,transferred,active,False,1608557437371,1608557437371,0.0
14446232,"December 21st 2020, 13:30:11.370","December 21st 2020, 13:30:11.370",dunepro-40417523-0-fnpc8025.fnal.gov,7435721,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/21/np04_raw_run005759_0129_dl10.root,8253961751,transferred,active,False,1608557411370,1608557411370,0.0
14446212,"December 21st 2020, 13:29:58.436","December 21st 2020, 13:29:58.436",dunepro-40417538-0-fnpc9039.fnal.gov,7435715,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/57/15/np04_raw_run005759_0125_dl4.root,8267654340,transferred,active,False,1608557398436,1608557398436,0.0
14446211,"December 21st 2020, 13:37:52.783","December 21st 2020, 13:37:52.783",dunepro-40417607-0-fnpc8013.fnal.gov,7439629,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/43/96/29/np04_raw_run005762_0009_dl10.root,8250234857,transferred,active,False,1608557872783,1608557872783,0.0
14446210,"December 21st 2020, 13:33:10.249","December 21st 2020, 13:33:10.249",dunepro-40417573-0-fnpc7533.fnal.gov,7446865,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/65/np04_raw_run005766_0056_dl11.root,8235420071,transferred,active,False,1608557590250,1608557590250,0.0
14446209,"December 21st 2020, 13:32:13.397","December 21st 2020, 13:32:13.397",dunepro-40417575-0-fnpc17147.fnal.gov,7446854,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/54/np04_raw_run005766_0055_dl5.root,8219516546,transferred,active,False,1608557533397,1608557533397,0.0
14446208,"December 21st 2020, 13:32:16.299","December 21st 2020, 13:32:16.299",dunepro-40417574-0-fnpc17160.fnal.gov,7446856,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/68/56/np04_raw_run005766_0054_dl10.root,8225592304,transferred,active,False,1608557536299,1608557536299,0.0
14446207,"December 21st 2020, 13:37:05.703","December 21st 2020, 13:37:05.703",dunepro-40417509-0-fnpc9040.fnal.gov,7447557,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/75/57/np04_raw_run005766_0059_dl5.root,8278893628,transferred,active,False,1608557825704,1608557825704,0.0
14446206,"December 21st 2020, 13:32:00.472","December 21st 2020, 13:32:00.472",dunepro-40417592-0-fnpc17156.fnal.gov,7442753,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/53/np04_raw_run005765_0032_dl6.root,8237700495,transferred,active,False,1608557520472,1608557520472,0.0
14446205,"December 21st 2020, 13:31:59.529","December 21st 2020, 13:31:59.529",dunepro-40417583-0-fnpc9023.fnal.gov,7442752,root://fndca1.fnal.gov:1096/pnfs/fnal.gov/usr/dune/tape_backed/dunepro/protodune/np04/beam/detector/None/raw/07/44/27/52/np04_raw_run005765_0033_dl5.root,8242128998,transferred,active,False,1608557519529,1608557519529,0.0
